time/fps,time/total_timesteps,time/iterations,rollout/ep_len_mean,time/time_elapsed,rollout/ep_rew_mean,train/approx_kl,train/explained_variance,train/policy_gradient_loss,train/loss,eval/mean_ep_length,eval/mean_reward,train/n_updates,train/entropy_loss,train/clip_fraction,train/clip_range,train/learning_rate,train/value_loss
5446,28672,1,80.69,5,-389.96,,,,,,,,,,,,
,42000,,,,,0.0018797948,-0.00016629695892333984,-0.0028737706913878874,64645.98828125,120.2,280.0,10,-1.6078431857217634,0.0006556919642857142,0.2,0.0003,101317.85473349434
1373,57344,2,75.23,41,-424.49,,,,,,,,,,,,
,84000,,,,,0.0022084236,0.007437944412231445,-0.0021993218089586923,1690.24462890625,150.0,-150.0,20,-1.6077764343736427,0.0013985770089285714,0.2,0.0003,86144.15843794687
1159,86016,3,86.2,74,-535.57,,,,,,,,,,,,
1088,114688,4,82.05,105,-191.37,0.0008181999,0.01114577054977417,-0.0011971569248219436,28437.994140625,,,30,-1.6078801327251961,8.021763392857143e-05,0.2,0.0003,71183.08508333478
