time/fps,rollout/exploration_rate,time/episodes,time/time_elapsed,rollout/ep_len_mean,rollout/ep_rew_mean,time/total_timesteps,train/n_updates,train/loss,train/learning_rate,eval/mean_reward,eval/mean_ep_length
60905,0.5847074999999999,388,0,95.9,-135.29,34972,,,,,
60905,0.58254625,392,0,94.24,-133.63,35154,,,,,
61152,0.5763950000000002,396,0,95.3,-184.7,35672,,,,,
61234,0.572405,400,0,97.12,-176.53,36008,,,,,
61536,0.56558875,404,0,96.93,-176.34,36582,,,,,
61594,0.5622637500000001,408,0,94.19,-203.57,36862,,,,,
61607,0.5596037500000002,412,0,92.62,-211.99,37086,,,,,
61797,0.5559462500000001,416,0,95.01,-224.4,37394,,,,,
61839,0.5521225000000001,420,0,92.88,-232.26,37716,,,,,
61911,0.5474675,424,0,93.45,-262.83,38108,,,,,
61865,0.54597125,428,0,93.5,-262.88,38234,,,,,
62072,0.53849,432,0,92.58,-261.96,38864,,,,,
62122,0.5351650000000001,436,0,89.56,-308.92,39144,,,,,
62059,0.53267125,440,0,89.67,-309.03,39354,,,,,
62105,0.5308425000000001,444,0,90.49,-309.85,39508,,,,,
62198,0.527185,448,0,89.08,-338.44,39816,,,,,
62235,0.5221975,452,0,88.11,-377.46,40236,,,,,
62304,0.5187062500000001,456,0,87.53,-436.88,40530,,,,,
62505,0.51189,460,0,86.7,-456.06,41104,,,,,
62528,0.5102275000000002,464,0,84.24,-463.59,41244,,,,,
62807,0.5024137500000001,468,0,83.16,-462.51,41902,,,,,
62802,0.49809125,472,0,83.14,-452.5,42266,,,,,
62814,0.49676125000000004,476,0,85.91,-455.3,42378,,,,,
62761,0.49443375,480,0,83.78,-463.16,42574,,,,,
62782,0.491275,484,0,82.67,-432.05,42840,,,,,
62920,0.48662000000000005,488,0,83.36,-402.74,43232,,,,,
62951,0.4841262500000001,492,0,83.84,-433.22,43442,,,,,
63227,0.4773100000000001,496,0,83.29,-402.67,44016,,,,,
63337,0.4718237500000001,500,0,83.35,-402.73,44478,,,,,
63557,0.4660049999999999,504,0,83.76,-423.15,44968,,,,,
63499,0.463345,508,0,81.52,-450.91,45192,,,,,
63540,0.46118375,512,0,82.37,-441.77,45374,,,,,
63687,0.45386875000000015,516,0,82.43,-411.83,45990,,,,,
63727,0.4503775000000001,520,0,82.64,-402.05,46284,,,,,
63721,0.44738500000000003,524,0,82.84,-392.26,46536,,,,,
63935,0.440735,528,0,85.05,-404.49,47096,,,,,
63957,0.43674499999999994,532,0,88.3,-357.76,47432,,,,,
64118,0.4327550000000001,536,0,90.39,-319.86,47768,,,,,
64270,0.4247750000000001,540,0,89.71,-299.17,48440,,,,,
64293,0.42228125000000016,544,0,90.13,-329.59,48650,,,,,
64322,0.41845750000000015,548,0,92.15,-331.61,48972,,,,,
64439,0.4133037500000002,552,0,91.54,-340.99,49406,,,,,
64408,0.40981250000000014,556,0,91.14,-320.58,49700,,,,,
44256,0.40549,560,1,91.71,-321.15,50064,1,46.64204788208008,0.0001,,
43713,0.4043262500000001,564,1,89.14,-308.56,50162,3,23.639766693115234,0.0001,,
42672,0.39983750000000007,568,1,88.43,-317.84,50540,10,10.314352035522461,0.0001,,
42406,0.39767625000000006,572,1,89.08,-288.49,50722,13,20.237850189208984,0.0001,,
42346,0.39701125000000004,576,1,86.71,-306.1,50778,14,24.644929885864258,0.0001,,
41820,0.39335375000000006,580,1,86.37,-305.76,51086,20,54.695892333984375,0.0001,,
40980,0.3888650000000001,584,1,86.93,-336.32,51464,26,6.746870040893555,0.0001,,
40735,0.3872025,588,1,85.81,-345.19,51604,29,59.23933792114258,0.0001,,
39998,0.38337875,592,1,82.94,-362.3,51926,35,38.01789474487305,0.0001,,
39516,0.379555,596,1,83.25,-372.6,52248,40,19.254146575927734,0.0001,,
38181,0.3727387500000001,600,1,83.09,-312.44,52822,51,13.950403213500977,0.0001,,
37382,0.3679175000000001,604,1,82.27,-281.62,53228,58,24.839195251464844,0.0001,,
36866,0.36392749999999996,608,1,83.45,-252.8,53564,64,16.531593322753906,0.0001,,
36641,0.36276375000000016,612,1,83.31,-252.66,53662,66,53.63787078857422,0.0001,,
36310,0.3599375,616,1,82.11,-291.45,53900,70,13.979776382446289,0.0001,,
35924,0.3572775,620,1,83.44,-292.78,54124,74,33.68024826049805,0.0001,,
35668,0.3544512500000001,624,1,79.26,-288.57,54362,78,11.552667617797852,0.0001,,
34831,0.34913125,628,1,76.02,-325.32,54810,86,37.4913330078125,0.0001,,
34332,0.3458062500000002,632,1,74.29,-373.57,55090,91,22.107343673706055,0.0001,,
33834,0.3416500000000001,636,1,75.03,-334.32,55440,97,18.624526977539062,0.0001,,
33404,0.33815875000000006,640,1,73.44,-362.73,55734,103,37.14584732055664,0.0001,,
33272,0.33499999999999996,644,1,73.17,-322.47,56000,107,42.71543884277344,0.0001,,
33072,0.33117624999999995,648,1,72.72,-312.03,56322,113,9.138880729675293,0.0001,,
32501,0.325025,652,1,71.68,-320.98,56840,122,7.090496063232422,0.0001,,
32075,0.32253125000000005,656,1,73.83,-323.16,57050,126,12.862876892089844,0.0001,,
31382,0.31505000000000005,660,1,72.91,-322.24,57680,137,12.33343505859375,0.0001,,
30903,0.31006250000000013,664,1,77.06,-356.42,58100,145,4.383121967315674,0.0001,,
30620,0.3062387500000001,668,1,80.47,-329.86,58422,151,8.930391311645508,0.0001,,
30543,0.3047425,672,1,80.03,-369.41,58548,153,8.104146957397461,0.0001,,
30421,0.30191625,676,1,77.45,-386.81,58786,157,39.8527717590332,0.0001,,
30186,0.29825875,680,1,79.81,-339.19,59094,163,4.17348575592041,0.0001,,
30049,0.29559875,684,1,80.37,-339.75,59318,167,8.426132202148438,0.0001,,
29173,0.2856237500000002,688,2,82.16,-361.55,60158,182,35.12230682373047,0.0001,,
28718,0.27963874999999994,692,2,85.13,-344.54,60662,191,6.610489845275879,0.0001,,
28412,0.2754825000000001,696,2,84.55,-363.97,61012,197,0.3509714901447296,0.0001,,
28254,0.27315500000000015,700,2,84.97,-434.38,61208,200,67.94036865234375,0.0001,,
28026,0.2706612500000001,704,2,86.41,-455.83,61418,204,39.73015594482422,0.0001,,
27308,0.261185,708,2,86.88,-456.3,62216,218,6.483373641967773,0.0001,,
26736,0.25370375,712,2,89.4,-418.83,62846,230,4.085561752319336,0.0001,,
26474,0.24888250000000012,716,2,90.63,-380.07,63252,237,0.5974392890930176,0.0001,,
26349,0.24638875000000016,720,2,90.72,-370.17,63462,241,36.93174743652344,0.0001,,
26201,0.24372875000000016,724,2,94.3,-343.78,63686,245,1.9165879487991333,0.0001,,
25842,0.23624750000000017,728,2,96.59,-336.08,64316,256,1.2878658771514893,0.0001,,
25463,0.22926500000000016,732,2,96.4,-335.89,64904,266,1.9715683460235596,0.0001,,
