time/total_timesteps,rollout/exploration_rate,rollout/ep_len_mean,time/time_elapsed,time/fps,rollout/ep_rew_mean,time/episodes,train/learning_rate,train/n_updates,train/loss,eval/mean_reward,eval/mean_ep_length
34972,0.5847074999999999,95.9,0,72399,-135.29,388,,,,,
35154,0.58254625,94.24,0,72405,-133.63,392,,,,,
35672,0.5763950000000002,95.3,0,72412,-184.7,396,,,,,
36008,0.572405,97.12,0,72526,-176.53,400,,,,,
36582,0.56558875,96.93,0,72983,-176.34,404,,,,,
36862,0.5622637500000001,94.19,0,72910,-203.57,408,,,,,
37086,0.5596037500000002,92.62,0,72790,-211.99,412,,,,,
37394,0.5559462500000001,95.01,0,72842,-224.4,416,,,,,
37716,0.5521225000000001,92.88,0,72938,-232.26,420,,,,,
38108,0.5474675,93.45,0,73039,-262.83,424,,,,,
38234,0.54597125,93.5,0,72100,-262.88,428,,,,,
38864,0.53849,92.58,0,72108,-261.96,432,,,,,
39144,0.5351650000000001,89.56,0,72216,-308.92,436,,,,,
39354,0.53267125,89.67,0,72110,-309.03,440,,,,,
39508,0.5308425000000001,90.49,0,72101,-309.85,444,,,,,
39816,0.527185,89.08,0,72135,-338.44,448,,,,,
40236,0.5221975,88.11,0,72110,-377.46,452,,,,,
40530,0.5187062500000001,87.53,0,72120,-436.88,456,,,,,
41104,0.51189,86.7,0,71573,-456.06,460,,,,,
41244,0.5102275000000002,84.24,0,71444,-463.59,464,,,,,
41902,0.5024137500000001,83.16,0,71707,-462.51,468,,,,,
42266,0.49809125,83.14,0,71708,-452.5,472,,,,,
42378,0.49676125000000004,85.91,0,71669,-455.3,476,,,,,
42574,0.49443375,83.78,0,71515,-463.16,480,,,,,
42840,0.491275,82.67,0,71592,-432.05,484,,,,,
43232,0.48662000000000005,83.36,0,71676,-402.74,488,,,,,
43442,0.4841262500000001,83.84,0,71595,-433.22,492,,,,,
44016,0.4773100000000001,83.29,0,71878,-402.67,496,,,,,
44478,0.4718237500000001,83.35,0,71804,-402.73,500,,,,,
44968,0.4660049999999999,83.76,0,72024,-423.15,504,,,,,
45192,0.463345,81.52,0,72015,-450.91,508,,,,,
45374,0.46118375,82.37,0,72054,-441.77,512,,,,,
45990,0.45386875000000015,82.43,0,72333,-411.83,516,,,,,
46284,0.4503775000000001,82.64,0,72378,-402.05,520,,,,,
46536,0.44738500000000003,82.84,0,71497,-392.26,524,,,,,
47096,0.440735,85.05,0,71696,-404.49,528,,,,,
47432,0.43674499999999994,88.3,0,71761,-357.76,532,,,,,
47768,0.4327550000000001,90.39,0,71864,-319.86,536,,,,,
48440,0.4247750000000001,89.71,0,72116,-299.17,540,,,,,
48650,0.42228125000000016,90.13,0,72115,-329.59,544,,,,,
